ID_Conexion,Local,Fecha_Consulta,Fecha_Solicitud,Hora_Solicitud,Usuario,Estado
8bc28f8d-28e9-4f83-8ddb-ea63b41d3a00,KFC115,20251130,2025-11-02,13:35:28,telegram_user,attempt
8bc28f8d-28e9-4f83-8ddb-ea63b41d3a00,KFC115,20251130,2025-11-02,13:35:29,telegram_user,success
e482de6f-7919-4c29-a8f2-a4d4bed04e2a,KFC167,20251031,2025-11-02,13:51:58,telegram_user,attempt
e482de6f-7919-4c29-a8f2-a4d4bed04e2a,KFC167,20251031,2025-11-02,13:51:59,telegram_user,success
636d8361-c5d8-433c-b974-1369181e0bab,KFC024,20251102,2025-11-02,19:24:51,telegram_user,attempt
636d8361-c5d8-433c-b974-1369181e0bab,KFC024,20251102,2025-11-02,19:24:52,telegram_user,success
02f97f3a-2cd0-44c1-9127-8f8048760152,KFC031,20251102,2025-11-02,20:52:56,telegram_user,attempt
02f97f3a-2cd0-44c1-9127-8f8048760152,KFC031,20251102,2025-11-02,20:52:57,telegram_user,success
f449e7ae-b72c-45b0-a0e2-9f8352d52173,KFC031,20251102,2025-11-02,21:01:27,telegram_user,attempt
f449e7ae-b72c-45b0-a0e2-9f8352d52173,KFC031,20251102,2025-11-02,21:01:28,telegram_user,success
49d6708c-bdf6-4112-81de-90f335022488,KFC031,20251102,2025-11-02,21:02:31,telegram_user,attempt
49d6708c-bdf6-4112-81de-90f335022488,KFC031,20251102,2025-11-02,21:02:32,telegram_user,success
92ab327a-0ed9-4c5e-92a6-98d138d93689,KFC031,20251102,2025-11-02,21:04:08,telegram_user,attempt
92ab327a-0ed9-4c5e-92a6-98d138d93689,KFC031,20251102,2025-11-02,21:04:09,telegram_user,success
0e172e31-008f-425b-8196-10bab4073dc1,KFC089,20251102,2025-11-02,21:42:34,telegram_user,attempt
0e172e31-008f-425b-8196-10bab4073dc1,KFC089,20251102,2025-11-02,21:42:35,telegram_user,success
cdf8bff5-d0a4-4b23-b08d-5dfcc9a9a0c8,KFC024,20251104,2025-11-04,21:38:44,telegram_user,attempt
cdf8bff5-d0a4-4b23-b08d-5dfcc9a9a0c8,KFC024,20251104,2025-11-04,21:38:46,telegram_user,success
ffaa7af0-9aef-4943-a65c-c3341b8b51a7,KFC170,20251105,2025-11-05,15:53:06,telegram_user,attempt
ffaa7af0-9aef-4943-a65c-c3341b8b51a7,KFC170,20251105,2025-11-05,15:53:07,telegram_user,success
7aff8391-a5f8-49cd-a7f4-2998f96a2f5a,KFC004,20251105,2025-11-05,17:50:30,telegram_user,attempt
7aff8391-a5f8-49cd-a7f4-2998f96a2f5a,KFC004,20251105,2025-11-05,17:50:32,telegram_user,success
867f42d5-e3ad-4e44-a5a3-01a57293281c,KFC004,20251105,2025-11-05,18:02:13,telegram_user,attempt
867f42d5-e3ad-4e44-a5a3-01a57293281c,KFC004,20251105,2025-11-05,18:02:13,telegram_user,success
